TEAM,Total DVOA Rank,Total DVOA,Prev. Week Rank,W-L,Weighted DVOA Rank,WDVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Past Schedule Rank,Past Schedule,Future Schedule Rank,Future Schedule,Variance Rank,Variance
NO,1,28.60%,1,03-Oct,1,30.50%,8,8.70%,2,-17.50%,8,2.50%,5,9.2,2,30.40%,22,-1.00%,7,5.90%,31,21.10%
TB,2,27.70%,3,05-Aug,3,24.80%,5,13.80%,5,-15.20%,24,-1.30%,2,9.8,4,25.00%,4,3.70%,29,-8.50%,32,25.20%
KC,3,25.00%,4,01-Dec,2,27.10%,2,27.60%,18,4.00%,13,1.40%,1,10.6,3,27.80%,29,-5.00%,14,0.00%,1,3.90%
PIT,4,23.50%,2,02-Nov,4,23.40%,20,-2.10%,1,-24.40%,14,1.20%,3,9.4,1,33.00%,30,-6.20%,27,-7.00%,9,7.90%
LAR,5,21.10%,6,04-Sep,5,22.70%,6,12.30%,3,-16.30%,30,-7.50%,6,8.9,6,21.20%,9,2.60%,25,-4.90%,17,11.60%
GB,6,19.60%,5,03-Oct,6,20.60%,1,28.60%,20,5.90%,26,-3.10%,7,8.6,7,21.00%,20,-0.90%,12,0.80%,16,11.50%
BUF,7,16.20%,9,03-Oct,7,20.40%,7,12.10%,16,-0.30%,5,3.80%,4,9.2,11,13.70%,18,0.20%,26,-5.10%,20,12.70%
SEA,8,15.50%,11,04-Sep,9,14.80%,4,14.80%,19,5.40%,4,6.10%,8,8.5,9,16.20%,24,-2.40%,6,7.70%,6,6.50%
BAL,9,15.50%,8,05-Aug,11,10.90%,18,0.10%,8,-7.20%,2,8.10%,10,7.5,10,14.80%,17,0.20%,32,-22.30%,18,12.10%
IND,10,15.50%,7,04-Sep,8,15.10%,16,1.30%,6,-11.30%,7,2.90%,9,8.3,5,21.20%,31,-6.50%,23,-3.80%,8,7.80%
MIA,11,11.60%,10,05-Aug,10,13.80%,17,0.40%,11,-4.70%,3,6.50%,13,7.2,8,18.10%,32,-6.80%,13,0.50%,23,13.50%
ARI,12,7.20%,13,06-Jul,12,7.20%,14,1.80%,9,-6.10%,22,-0.70%,12,7.2,12,12.10%,19,-0.60%,9,3.90%,13,9.90%
TEN,13,6.60%,12,04-Sep,13,6.80%,3,21.80%,26,10.00%,29,-5.20%,11,7.4,13,11.40%,26,-2.60%,17,-0.90%,11,9.70%
SF,14,3.50%,14,08-May,16,0.10%,21,-2.10%,10,-5.80%,20,-0.20%,14,6.9,16,-2.70%,1,5.20%,10,2.40%,30,20.70%
CHI,15,-0.70%,19,07-Jun,15,0.50%,26,-12.90%,7,-9.90%,9,2.30%,18,6,18,-3.30%,3,4.40%,20,-2.80%,2,4.40%
WAS,16,-1.60%,17,07-Jun,14,1.20%,29,-18.80%,4,-16.20%,15,0.90%,15,6.6,14,1.90%,27,-3.80%,15,-0.30%,19,12.20%
CAR,17,-3.50%,16,09-Apr,17,-3.70%,9,7.40%,27,10.40%,21,-0.50%,21,5.4,19,-3.50%,7,2.80%,2,15.50%,5,5.70%
MIN,18,-3.90%,15,07-Jun,21,-5.80%,11,3.20%,12,-2.60%,31,-9.70%,16,6.3,21,-7.40%,10,2.40%,8,5.40%,12,9.70%
ATL,19,-6.80%,22,09-Apr,20,-5.20%,22,-7.20%,14,-1.80%,25,-1.50%,24,5,17,-3.30%,16,0.30%,1,26.80%,7,6.80%
NE,20,-7.10%,21,07-Jun,19,-4.90%,24,-9.60%,21,6.10%,1,8.60%,19,5.9,20,-4.00%,14,1.40%,21,-3.30%,29,20.60%
CLE,21,-7.10%,23,04-Sep,18,-3.90%,10,4.80%,23,7.70%,27,-4.20%,17,6.1,15,0.10%,28,-4.20%,30,-9.20%,28,20.00%
LV,22,-7.50%,18,06-Jul,22,-8.70%,15,1.50%,28,10.50%,12,1.50%,20,5.5,23,-11.10%,8,2.60%,31,-10.10%,22,13.10%
HOU,23,-10.60%,20,09-Apr,25,-12.70%,12,2.60%,30,12.00%,23,-1.10%,27,4.5,22,-9.70%,12,2.00%,18,-2.40%,10,8.40%
DET,24,-11.80%,25,08-May,26,-15.40%,13,1.90%,31,14.00%,17,0.30%,23,5.2,25,-15.00%,6,3.00%,3,10.10%,21,13.10%
PHI,25,-13.00%,26,2004-08-01,23,-9.70%,27,-13.80%,15,-0.40%,16,0.40%,28,4.4,24,-12.40%,5,3.60%,22,-3.30%,3,5.20%
NYG,26,-13.60%,24,08-May,24,-10.80%,28,-14.10%,17,1.20%,11,1.70%,22,5.3,27,-17.20%,13,1.80%,19,-2.40%,15,11.10%
DAL,27,-15.60%,27,09-Apr,27,-15.90%,23,-9.30%,25,8.40%,10,2.10%,26,4.6,28,-18.90%,15,0.40%,28,-7.70%,25,16.10%
DEN,28,-19.80%,29,08-May,28,-19.40%,31,-21.80%,13,-2.10%,18,-0.10%,25,4.7,30,-22.40%,2,4.90%,24,-4.40%,24,14.70%
LAC,29,-21.90%,30,09-Apr,30,-26.80%,19,-1.10%,22,7.30%,32,-13.50%,30,3.2,26,-15.90%,23,-2.00%,16,-0.80%,14,10.30%
JAX,30,-24.20%,28,12-Jan,29,-23.90%,25,-9.90%,32,14.20%,19,-0.10%,29,3.9,29,-21.40%,21,-0.90%,4,10.10%,27,18.80%
CIN,31,-29.20%,31,2002-10-01,31,-29.80%,30,-21.50%,29,10.60%,6,2.90%,31,2.5,31,-30.10%,25,-2.40%,5,9.50%,4,5.50%
NYJ,32,-37.60%,32,0-13,32,-37.80%,32,-24.70%,24,8.00%,28,-4.90%,32,1.9,32,-44.70%,11,2.20%,11,2.30%,26,16.70%